id,artist,name,duration,bpm,mood,score
3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,November Rain,8.93,79.759,relaksasi,81
3jZDWsoxRHzzp3DYV8qeXE,Teqkoi;Aiko,You Broke My Heart Again,1.72,74.918,relaksasi,71
22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,3.02,137.958,energik,81
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,3.23,135.128,energik,84
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,2.93,76.469,relaksasi,82
3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,3.22,101.921,fokus,83
0HaRLPnr887lcQM2YQzkff,Burna Boy;Ed Sheeran,For My Hand (feat. Ed Sheeran),2.65,104.059,fokus,83
3nqQXoyQOWXiESFLlDF1hG,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),2.62,131.121,energik,100
4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,4.19,112.067,fokus,87
47UFoOuvrkt4khE7c5aap6,Sub Urban,Cradles,3.5,79.056,relaksasi,76
